State,Abbrev,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Alabama,AL,,,,,,,,,,
Alaska,AK,,,,,,,,,,
Arizona,AZ,,,,,,,,,,
Arkansas,AR,,,,,,,,,,
California,CA,,,,,,,,,,
Colorado,CO,,,,,,,,,,
Connecticut,CT,,,,,,,,,,
Delaware,DE,,,,,,,,,,
Florida,FL,,,,,,,,,,
Georgia,GA,,,,,,,,,,
Hawaii,HI,,51.6,51.3,48.2,48.5,48.9,52.3,50.9,47.4,45.5
Idaho,ID,,,,,,,,,,
Illinois,IL,,,,,,,,,,
Indiana,IN,,,,,,,,,,
Iowa,IA,,,,,,,,,,
Kansas,KS,,,,,,,,,,
Kentucky,KY,,,,,,,,,,
Louisiana,LA,,,,,,,,,,
Maine,ME,,,,,,,,,,
Maryland,MD,,,,,,,,,,
Massachusetts,MA,,,,,,,,,,
Michigan,MI,,,,,,,,,,
Minnesota,MN,,,,,,,,,,
Mississippi,MS,,,,,,,,,,
Missouri,MO,,,,,,,,,,
Montana,MT,,,,,,,,,,
Nebraska,NE,,,,,,,,,,
Nevada,NV,,,,,,,,,,
New Hampshire,NH,,,,,,,,,,
New Jersey,NJ,,,,,,,,,,
New Mexico,NM,,,,,,,,,,
New York,NY,,25.7,25.1,24.5,23.8,24.1,23.6,23.2,23.8,
North Carolina,NC,28.0,,28.0,,,35.0,,37.0,,38.0
North Dakota,ND,,,,,,,,,,
Ohio,OH,,,,,,,,,,
Oklahoma,OK,,,,,,,,,,
Oregon,OR,48.2,47.7,46.5,43.8,42.1,42.9,45.4,46.2,46.6,49.9
Pennsylvania,PA,,,,,,,,,,
Rhode Island,RI,,,,,,,,,,
South Carolina,SC,,,,,,,,,,
South Dakota,SD,,,,,,,,,,
Tennessee,TN,,,,,,,,,,
Texas,TX,,,,,,,,35.1,35.8,35.9
Utah,UT,,,,,,,,,,
Vermont,VT,,,,,,,,,,
Virginia,VA,,,,,,,,,,
Washington,WA,,,,,,,,,,
West Virginia,WV,,,,,,,,,,
Wisconsin,WI,,,,,,,,,,
Wyoming,WY,,,,,,,,,,
